video,folder,stroke_type,dtw_distance,similarity_score,dtw_left_shoulder,dtw_right_shoulder,dtw_left_elbow,dtw_right_elbow,dtw_left_wrist,dtw_right_wrist,dtw_left_hip,dtw_right_hip,dtw_left_knee,dtw_right_knee,dtw_left_ankle,dtw_right_ankle
IMG_0881_preprocessed,forehand_tennis_with_ball,forehand,1.546,21.3,0.1607,0.3253,0.3505,0.2505,0.3009,0.7447,0.1378,0.1378,0.1996,0.1628,0.5661,0.3527
IMG_0882_preprocessed,forehand_tennis_with_ball,forehand,1.6851,18.5,0.1996,0.3472,0.4664,0.3319,0.3703,0.8137,0.1606,0.1606,0.2151,0.2027,0.5713,0.3914
IMG_0883_preprocessed,forehand_tennis_with_ball,forehand,1.6897,18.5,0.1973,0.4187,0.3596,0.4299,0.3906,0.8404,0.1614,0.1614,0.2091,0.1854,0.5256,0.2728
IMG_0884_preprocessed,forehand_tennis_with_ball,forehand,1.7418,17.5,0.1713,0.4352,0.4213,0.4421,0.5311,0.8132,0.161,0.161,0.2173,0.1602,0.5549,0.2805
IMG_0885_preprocessed,forehand_tennis_with_ball,forehand,1.6358,19.5,0.2923,0.2146,0.4644,0.2551,0.4647,0.7682,0.1328,0.1328,0.2454,0.1299,0.5236,0.2928
IMG_0886_preprocessed,forehand_tennis_with_ball,forehand,1.514,22.0,0.2533,0.2323,0.4744,0.2412,0.4428,0.6819,0.1546,0.1546,0.1751,0.1641,0.4771,0.1361
IMG_0887_preprocessed,forehand_tennis_with_ball,forehand,1.4538,23.4,0.2242,0.1558,0.3623,0.1769,0.3245,0.579,0.1199,0.1199,0.1864,0.183,0.5024,0.3168
IMG_0888_preprocessed,forehand_tennis_with_ball,forehand,1.6252,19.7,0.2729,0.2763,0.4682,0.3079,0.4589,0.8095,0.1636,0.1636,0.1981,0.1316,0.4862,0.1481
IMG_0889_preprocessed,forehand_tennis_with_ball,forehand,1.8181,16.2,0.1815,0.3656,0.4751,0.4416,0.532,0.9468,0.1721,0.1721,0.2632,0.2519,0.6257,0.2559
IMG_0901_preprocessed,forehand_tennis_with_ball,forehand,1.6198,19.8,0.1837,0.2537,0.4547,0.2463,0.5048,0.8519,0.1341,0.1341,0.1815,0.1783,0.5566,0.2266
IMG_0902_preprocessed,forehand_tennis_with_ball,forehand,1.6805,18.6,0.2131,0.379,0.4118,0.3991,0.4189,0.8188,0.1607,0.1607,0.1653,0.1717,0.5286,0.3638
IMG_0903_preprocessed,forehand_tennis_with_ball,forehand,1.7491,17.4,0.2207,0.3181,0.4859,0.4172,0.4174,0.8596,0.1541,0.1541,0.1984,0.2111,0.5526,0.376
IMG_0909_preprocessed,forehand_tennis_with_ball,forehand,1.7227,17.9,0.1705,0.3107,0.4049,0.3617,0.415,0.8371,0.1575,0.1575,0.2744,0.1896,0.611,0.3222
IMG_0911_preprocessed,forehand_tennis_with_ball,forehand,1.7921,16.7,0.1219,0.3765,0.3777,0.4627,0.4119,1.0287,0.1723,0.1723,0.2875,0.2056,0.5499,0.2707
