video,label,stroke,dtw_sim,siam_dist,dtw_pred,siam_pred
p32_foreflat_s1,expert,forehand,45.677,0.0206,beginner,expert
p32_foreflat_s2,expert,forehand,45.896,0.0238,beginner,expert
p32_foreflat_s3,expert,forehand,43.917,0.02,beginner,expert
p33_foreflat_s1,expert,forehand,51.884,0.0199,expert,expert
p33_foreflat_s2,expert,forehand,51.034,0.0202,expert,expert
p33_foreflat_s3,expert,forehand,48.546,0.0215,beginner,expert
p34_foreflat_s1,expert,forehand,49.711,0.0207,beginner,expert
p34_foreflat_s2,expert,forehand,48.129,0.0231,beginner,expert
p34_foreflat_s3,expert,forehand,46.69,0.0205,beginner,expert
p35_foreflat_s1,expert,forehand,47.668,0.0211,beginner,expert
p35_foreflat_s2,expert,forehand,48.734,0.0229,beginner,expert
p35_foreflat_s3,expert,forehand,49.42,0.0226,beginner,expert
p36_foreflat_s1,expert,forehand,49.141,0.0306,beginner,expert
p36_foreflat_s2,expert,forehand,48.716,0.0201,beginner,expert
p36_foreflat_s3,expert,forehand,48.45,0.0207,beginner,expert
p37_foreflat_s1,expert,forehand,43.574,0.0252,beginner,expert
p37_foreflat_s2,expert,forehand,42.749,0.0225,beginner,expert
p37_foreflat_s3,expert,forehand,43.468,0.0205,beginner,expert
p38_foreflat_s1,expert,forehand,52.118,0.0205,expert,expert
p38_foreflat_s2,expert,forehand,49.915,0.0203,beginner,expert
p38_foreflat_s3,expert,forehand,51.025,0.02,expert,expert
p39_foreflat_s1,expert,forehand,47.938,0.0199,beginner,expert
p39_foreflat_s2,expert,forehand,50.188,0.0202,expert,expert
p39_foreflat_s3,expert,forehand,48.219,0.0202,beginner,expert
p40_foreflat_s1,expert,forehand,45.804,0.0218,beginner,expert
p40_foreflat_s2,expert,forehand,45.953,0.0208,beginner,expert
p40_foreflat_s3,expert,forehand,42.523,0.0277,beginner,expert
p41_foreflat_s1,expert,forehand,52.736,0.022,expert,expert
p41_foreflat_s2,expert,forehand,50.005,0.0206,expert,expert
p41_foreflat_s3,expert,forehand,50.098,0.0232,expert,expert
p42_foreflat_s1,expert,forehand,51.115,0.0206,expert,expert
p42_foreflat_s2,expert,forehand,49.813,0.0216,beginner,expert
p42_foreflat_s3,expert,forehand,50.578,0.02,expert,expert
p43_foreflat_s1,expert,forehand,47.903,0.021,beginner,expert
p43_foreflat_s2,expert,forehand,46.063,0.0222,beginner,expert
